state,year,cigsale,lnincome,beer,age15to24,retprice
Arkansas,1993,113.8000031,9.785142,19.7,,179.8999939
Arkansas,1994,108.8000031,9.813631,19.7,,168.1000061
Arkansas,1995,113,9.86446,19.5,,167.3000031
Arkansas,1996,110.6999969,9.885234,20.1,,167.1000061
Arkansas,1997,108.6999969,9.883107,19.8,,181.3000031
Arkansas,1998,109.5,,,,187.3000031
Arkansas,1999,104.8000031,,,,206.8999939
Arkansas,2000,99.40000153,,,,279.2999878
California,1970,123,,,0.17815833,38.79999924
California,1971,121,,,0.17929636,39.70000076
California,1972,123.5,9.930814,,0.18043439,39.90000153
California,1973,124.4000015,9.955092,,0.18157241,39.90000153
California,1974,126.6999969,9.947999,,0.18271044,41.90000153
California,1975,127.0999985,9.937167,,0.18384847,45
California,1976,128,9.976858,,0.1849865,48.29999924
California,1977,126.4000015,10.0027,,0.18612453,49
California,1978,126.0999985,10.045565,,0.18726255,58.70000076
California,1979,121.9000015,10.0546875,,0.18840058,60.09999847
California,1980,120.1999969,10.037841,,0.18953861,62.09999847
California,1981,118.5999985,10.028626,,0.18553706,66.40000153
California,1982,115.4000015,10.01253,,0.1815355,72.80000305
California,1983,110.8000031,10.031737,,0.17753394,84.90000153
California,1984,104.8000031,10.075359,25,0.17353238,94.90000153
California,1985,102.8000031,10.099703,24,0.16953082,98
California,1986,99.69999695,10.127267,24.7,0.16552927,104.4000015
California,1987,97.5,10.134301,24.1,0.16152771,103.9000015
California,1988,90.09999847,10.141663,23.6,0.15752615,117.4000015
California,1989,82.40000153,10.142313,23.7,0.15352459,126.4000015
California,1990,77.80000305,10.141623,23.8,0.14952303,163.8000031
California,1991,68.69999695,10.110714,22.3,,186.8000031
California,1992,67.5,10.114939,21.3,,201.8999939
California,1993,63.40000153,10.098497,20.8,,205.1000061
California,1994,58.59999847,10.099508,20.1,,190.3000031
California,1995,56.40000153,10.155916,19.7,,195.1000061
California,1996,54.5,10.178637,19.1,,197.8999939
California,1997,53.79999924,10.17519,19.5,,200.3000031
California,1998,52.29999924,,,,207.8000031
California,1999,47.20000076,,,,224.8999939
California,2000,41.59999847,,,,351.2000122
Colorado,1970,124.8000031,,,0.19095023,29.39999962
Colorado,1971,125.5,,,0.19164759,31.10000038
Colorado,1972,134.3000031,9.805548,,0.19234496,31.20000076
Colorado,1973,137.8999939,9.848413,,0.19304232,32.70000076
Colorado,1974,132.8000031,9.840451,,0.19373968,38.09999847
Colorado,1975,131,9.828461,,0.19443706,41.70000076
Colorado,1976,134.1999969,9.858913,,0.19513442,44.79999924
Colorado,1977,132,9.888447,,0.19583178,44.70000076
Colorado,1978,129.1999969,9.933751,,0.19652914,57.40000153
Colorado,1979,131.5,9.94222,,0.19722651,52.79999924
Colorado,1980,131,9.943612,,0.19792387,54.59999847
Colorado,1981,133.8000031,9.9572735,,0.19186871,58.09999847
Colorado,1982,130.5,9.962617,,0.18581356,61.40000153
Colorado,1983,125.3000031,9.978037,,0.1797584,73.30000305
Colorado,1984,119.6999969,10.002046,25.7,0.17370325,83.40000153
Colorado,1985,112.4000015,10.000779,25.2,0.16764809,93.09999847
Colorado,1986,109.9000015,10.001593,25.5,0.16159293,95.09999847
Colorado,1987,102.4000015,9.994427,24.8,0.15553778,108.5999985
Colorado,1988,94.59999847,10.018831,24.2,0.14948262,116
Colorado,1989,88.80000305,10.043063,23.9,0.14342748,130.8000031
Colorado,1990,87.40000153,10.046251,24.2,0.13737231,149.3000031
Colorado,1991,90.19999695,10.054761,23.5,,152.6000061
Colorado,1992,88.30000305,10.0663395,23.7,,157.5
Colorado,1993,88.59999847,10.079669,23.5,,168.1999969
Colorado,1994,89.09999847,10.097464,23.1,,153.1999969
Colorado,1995,85.40000153,10.16635,24.4,,164.1999969
Colorado,1996,83.09999847,10.191437,24.8,,169.6000061
Colorado,1997,81.30000305,10.2038965,24,,174.3999939
Colorado,1998,81.19999695,,,,185.8000031
Colorado,1999,79.59999847,,,,204.1999969
Colorado,2000,73,,,,281.2999878
Connecticut,1970,120,,,0.16292876,42.20000076
Connecticut,1971,117.5999985,,,0.1646539,45.5
Connecticut,1972,110.8000031,9.981137,,0.16637905,51.29999924
Connecticut,1973,109.3000031,10.012989,,0.16810419,50.59999847
Connecticut,1974,112.4000015,9.988535,,0.16982932,52.5
Connecticut,1975,110.1999969,9.960749,,0.17155448,54.5
Connecticut,1976,113.4000015,9.993227,,0.17327961,57.59999847
Connecticut,1977,117.3000031,10.028069,,0.17500475,58.40000153
Connecticut,1978,117.5,10.063203,,0.17672989,61.70000076
Connecticut,1979,117.4000015,10.075508,,0.17845504,64.40000153
Connecticut,1980,118,10.074763,,0.18018018,67
Connecticut,1981,116.4000015,10.079572,,0.17605005,80.09999847
Connecticut,1982,114.6999969,10.090163,,0.17191993,85.59999847
Connecticut,1983,114.0999985,10.12007,,0.16778982,95.59999847
Connecticut,1984,112.5,10.181597,20.3,0.16365969,113.5
Connecticut,1985,111,10.212917,20.8,0.15952957,118.5999985
Connecticut,1986,108.5,10.268609,20.6,0.15539944,118.5
Connecticut,1987,109,10.309229,21.1,0.15126932,122.6999969
Connecticut,1988,104.8000031,10.355395,20.7,0.1471392,129.6999969
Connecticut,1989,100.5999985,10.366524,19.8,0.14300908,142
Connecticut,1990,91.5,10.349302,19.8,0.13887896,171.1999969
Connecticut,1991,86.69999695,10.324137,18.7,,175.6000061
Connecticut,1992,83.5,10.3438425,18.3,,193.5
Connecticut,1993,79.09999847,10.343544,17.9,,202.3000031
Connecticut,1994,76.59999847,10.361299,17.9,,205.6000061
Connecticut,1995,79.30000305,10.451002,17.6,,205.3999939
Connecticut,1996,76,10.474495,17.2,,206.3000031
Connecticut,1997,75.90000153,10.486617,17.5,,208.5
Connecticut,1998,75.5,,,,217.8999939
Connecticut,1999,73.40000153,,,,236.5
Connecticut,2000,71.40000153,,,,312.2999878
Delaware,1970,155,,,0.17335767,39
Delaware,1971,161.1000061,,,0.17588721,41.29999924
Delaware,1972,156.3000031,9.90993,,0.17841677,44.70000076
Delaware,1973,154.6999969,9.948177,,0.18094632,44
Delaware,1974,151.3000031,9.918258,,0.18347588,44.20000076
Delaware,1975,147.6000061,9.887531,,0.18600543,45.90000153
Delaware,1976,153,9.920685,,0.18853498,50.09999847
Delaware,1977,153.3000031,9.933779,,0.19106454,51.70000076
Delaware,1978,155.5,9.944127,,0.19359408,58.70000076
Delaware,1979,150.1999969,9.926104,,0.19612364,60
Delaware,1980,150.5,9.913744,,0.19865319,62.70000076
Delaware,1981,152.6000061,9.901393,,0.19354601,66
Delaware,1982,154.1000061,9.904337,,0.18843885,74.09999847
Delaware,1983,149.6000061,9.934576,,0.18333167,82
Delaware,1984,144,9.962282,26.6,0.1782245,91.09999847
Delaware,1985,144.5,9.996334,26.2,0.17311732,98.69999695
Delaware,1986,142.3999939,10.032092,26,0.16801015,105.1999969
Delaware,1987,141,10.048571,25.9,0.16290298,111.4000015
Delaware,1988,137.1000061,10.077722,25.7,0.1577958,119.3000031
Delaware,1989,131.6999969,10.103605,24.9,0.15268864,124
Delaware,1990,127.1999969,10.094804,25.8,0.14758146,140
Delaware,1991,118.8000031,10.083064,24.9,,143.1999969
Delaware,1992,120,10.091464,25.2,,174.6999969
Delaware,1993,123.8000031,10.092083,26.2,,187.8999939
Delaware,1994,126.0999985,10.131247,25.9,,152.5
Delaware,1995,127.1999969,10.229653,24.6,,160.6999969
Delaware,1996,128.3000031,10.262393,24.6,,169.1000061
Delaware,1997,124.0999985,10.261678,24.9,,171.8999939
Delaware,1998,132.8000031,,,,179.1999969
Delaware,1999,139.5,,,,198.3000031
Delaware,2000,140.6999969,,,,276.2000122
Georgia,1970,109.9000015,,,0.1874455,34.29999924
Georgia,1971,115.6999969,,,0.18786626,35.79999924
Georgia,1972,117,9.63889,,0.18828699,40.90000153
Georgia,1973,119.8000031,9.684865,,0.18870774,42.40000153
Georgia,1974,123.6999969,9.659981,,0.18912847,42.40000153
Georgia,1975,122.9000015,9.629609,,0.18954922,44.5
Georgia,1976,125.9000015,9.67143,,0.18996997,47.90000153
Georgia,1977,127.9000015,9.693337,,0.1903907,49.5
Georgia,1978,130.6000061,9.736651,,0.19081146,54.70000076
Georgia,1979,131,9.729302,,0.19123219,56.59999847
Georgia,1980,134,9.701445,,0.19165294,59.29999924
Georgia,1981,131.6999969,9.704944,,0.18797573,62.59999847
Georgia,1982,131.1999969,9.707344,,0.18429853,67.80000305
Georgia,1983,128.6000061,9.755732,,0.18062133,78.90000153
Georgia,1984,126.3000031,9.82549,21.3,0.17694412,86.80000305
Georgia,1985,128.8000031,9.862127,21.4,0.17326692,90.69999695
Georgia,1986,129,9.913809,22.1,0.16958973,100.0999985
Georgia,1987,129.3000031,9.930798,22.3,0.16591252,103.9000015
Georgia,1988,124.0999985,9.952863,21.7,0.16223532,109.1999969
Georgia,1989,117.0999985,9.953909,21.5,0.15855812,122.4000015
Georgia,1990,113.8000031,9.953298,22.3,0.15488091,132.3000031
Georgia,1991,109.5999985,9.941865,21.2,,138.1999969
Georgia,1992,109.1999969,9.958565,21.6,,159.5
Georgia,1993,109.1999969,9.967873,21.7,,167.1999969
Georgia,1994,107.8000031,9.9982395,21.4,,147.8000031
Georgia,1995,100.3000031,10.055438,21.5,,153.8000031
Georgia,1996,102.6999969,10.079771,22,,156.1000061
Georgia,1997,100.5999985,10.081408,21.6,,158.8999939
Georgia,1998,100.5,,,,168.6999969
Georgia,1999,97.09999847,,,,188
Georgia,2000,88.40000153,,,,257.3999939
Idaho,1970,102.4000015,,,0.17812061,33.79999924
Idaho,1971,108.5,,,0.17609245,33.59999847
Idaho,1972,126.0999985,9.651839,,0.1740643,33.70000076
Idaho,1973,121.8000031,9.721051,,0.17203613,36.29999924
Idaho,1974,125.5999985,9.746263,,0.17000796,38
Idaho,1975,123.3000031,9.692201,,0.1679798,40.29999924
Idaho,1976,125.0999985,9.731101,,0.16595164,42.5
Idaho,1977,125,9.726507,,0.16392347,45.59999847
Idaho,1978,122.8000031,9.768933,,0.1618953,51.5
Idaho,1979,117.5,9.737336,,0.15986715,55.40000153
Idaho,1980,115.1999969,9.711496,,0.15783899,56.40000153
Idaho,1981,114.0999985,9.684898,,0.15638342,59.20000076
Idaho,1982,111.5,9.645257,,0.15492785,67.59999847
Idaho,1983,111.3000031,9.694544,,0.15347229,76.5
Idaho,1984,103.5999985,9.707316,23.2,0.15201671,88.5
Idaho,1985,100.6999969,9.715257,22.3,0.15056115,97.59999847
Idaho,1986,96.69999695,9.736214,22.5,0.1491056,99.90000153
Idaho,1987,95,9.740723,22,0.14765002,107.0999985
Idaho,1988,84.5,9.766004,21.1,0.14619446,121.9000015
Idaho,1989,78.40000153,9.827927,21.6,0.14473888,133.6000061
Idaho,1990,90.09999847,9.839928,22.9,0.14328332,141.3000031
Idaho,1991,85.40000153,9.835094,22.2,,144.3999939
Idaho,1992,85.09999847,9.85615,22.6,,167.1999969
Idaho,1993,86.69999695,9.877363,21.8,,171.1999969
Idaho,1994,93,9.903079,21.4,,150.5
Idaho,1995,78.19999695,9.919679,20.1,,163.5
Idaho,1996,73.59999847,9.933634,20.6,,176.5
Idaho,1997,75,9.921952,20.1,,184.3999939
Idaho,1998,78.90000153,,,,187.1000061
Idaho,1999,75.09999847,,,,210.6999969
Idaho,2000,66.90000153,,,,275.8999939
Illinois,1970,124.8000031,,,0.16696669,41.40000153
Illinois,1971,125.5999985,,,0.1689976,41.40000153
Illinois,1972,126.5999985,9.908161,,0.17102851,41.90000153
Illinois,1973,124.4000015,9.9615965,,0.1730594,41
Illinois,1974,131.8999939,9.946315,,0.17509031,41.90000153
Illinois,1975,131.8000031,9.93419,,0.17712122,45.20000076
Illinois,1976,134.3999939,9.965498,,0.17915213,48.40000153
Illinois,1977,134,9.996949,,0.18118304,49.40000153
Illinois,1978,136.6999969,10.023603,,0.18321393,54.59999847
Illinois,1979,135.3000031,10.013675,,0.18524484,56.79999924
Illinois,1980,135.1999969,9.9621725,,0.18727575,60
Illinois,1981,133,9.965017,,0.1830271,63.09999847
Illinois,1982,130.6999969,9.944979,,0.17877847,69.59999847
Illinois,1983,127.9000015,9.954803,,0.17452982,80.80000305
Illinois,1984,124,10.003144,24.6,0.17028119,89.59999847
Illinois,1985,121.5999985,10.020819,24.3,0.16603254,96.69999695
Illinois,1986,118.1999969,10.0553,24.7,0.16178389,108.4000015
Illinois,1987,109.5,10.067755,25.1,0.15753525,116.1999969
Illinois,1988,107.5999985,10.087956,25,0.1532866,124.0999985
Illinois,1989,104.5999985,10.113907,24.4,0.14903797,132.6999969
Illinois,1990,94.09999847,10.116749,25.7,0.14478932,147.3000031
Illinois,1991,96.09999847,10.098239,24.4,,154
Illinois,1992,94.80000305,10.123287,23.8,,179.8000031
Illinois,1993,94.59999847,10.127834,23.5,,187.5
Illinois,1994,85.69999695,10.154192,23.6,,182.1000061
Illinois,1995,84.30000305,10.200355,23.2,,185.1999969
Illinois,1996,81.80000305,10.224244,22.9,,188.6999969
Illinois,1997,79.59999847,10.236586,22.9,,198.6999969
Illinois,1998,80.30000305,,,,202.3000031
Illinois,1999,72.19999695,,,,240.5
Illinois,2000,70,,,,312.7000122
Indiana,1970,134.6000061,,,0.17651588,30.60000038
Indiana,1971,139.3000031,,,0.17797175,32.20000076
Indiana,1972,149.1999969,9.731873,,0.17942764,32.5
Indiana,1973,156,9.806883,,0.18088353,32.90000153
Indiana,1974,159.6000061,9.763185,,0.1823394,34.5
Indiana,1975,162.3999939,9.743661,,0.18379527,36.70000076
Indiana,1976,166.6000061,9.798755,,0.18525116,38.70000076
Indiana,1977,173,9.833315,,0.18670705,40.59999847
Indiana,1978,150.8999939,9.865232,,0.18816292,50
Indiana,1979,148.8999939,9.851489,,0.1896188,52.5
Indiana,1980,146.8999939,9.795776,,0.19107468,53.70000076
Indiana,1981,148.5,9.78815,,0.18707843,58.29999924
Indiana,1982,147.6999969,9.757754,,0.18308216,65.09999847
Indiana,1983,143,9.775058,,0.17908591,75.69999695
Indiana,1984,137.8000031,9.829457,22,0.17508966,85.19999695
Indiana,1985,135.3000031,9.844302,22,0.1710934,88.80000305
Indiana,1986,137.6000061,9.882232,22.1,0.16709714,93.59999847
Indiana,1987,134,9.897043,21.9,0.16310088,100.0999985
Indiana,1988,134,9.915045,21.9,0.15910463,109.3000031
Indiana,1989,132.5,9.936582,21.5,0.15510836,119
Indiana,1990,128.3000031,9.935142,22.4,0.15111211,130.8000031
Indiana,1991,127.1999969,9.9210825,21.6,,135.8000031
Indiana,1992,128.1999969,9.953797,20.7,,153.5
Indiana,1993,126.8000031,9.965633,20.5,,157.5
Indiana,1994,128.1999969,10.001348,20.6,,146.6000061
Indiana,1995,135.3999939,10.043711,20.1,,146.3000031
Indiana,1996,135.1000061,10.060887,20.3,,147.8000031
Indiana,1997,135.3000031,10.0521145,20.3,,156.3000031
Indiana,1998,135.8999939,,,,166.8000031
Indiana,1999,133.3000031,,,,190
Indiana,2000,125.5,,,,260.2000122
Iowa,1970,108.5,,,0.16884956,37.70000076
Iowa,1971,108.4000015,,,0.170839,38.5
Iowa,1972,109.4000015,9.730265,,0.17282845,41.90000153
Iowa,1973,110.5999985,9.858372,,0.17481789,41.90000153
Iowa,1974,116.0999985,9.788277,,0.17680733,43.20000076
Iowa,1975,120.5,9.800288,,0.17879677,45.40000153
Iowa,1976,124.4000015,9.803332,,0.18078622,47.79999924
Iowa,1977,125.5,9.83932,,0.18277566,49.40000153
Iowa,1978,127.0999985,9.914184,,0.1847651,54.59999847
Iowa,1979,124.1999969,9.881053,,0.18675455,56.40000153
Iowa,1980,124.5999985,9.810102,,0.188744,58.79999924
Iowa,1981,132.8999939,9.838684,,0.18403523,61.40000153
Iowa,1982,116.1999969,9.795305,,0.17932646,72.80000305
Iowa,1983,115.5999985,9.783572,,0.17461771,84
Iowa,1984,111.1999969,9.831582,23.9,0.16990894,93.30000305
Iowa,1985,109.4000015,9.839345,22.9,0.16520017,99.5
Iowa,1986,104.0999985,9.870234,23.3,0.1604914,104.8000031
Iowa,1987,101.0999985,9.887944,23.1,0.15578264,117.0999985
Iowa,1988,100.1999969,9.875571,23,0.15107389,124.1999969
Iowa,1989,94.40000153,9.915924,22.7,0.14636512,145.1000061
Iowa,1990,95.40000153,9.927806,23.6,0.14165635,149.6000061
Iowa,1991,97.09999847,9.911109,23.5,,155.3999939
Iowa,1992,95.19999695,9.942481,23.3,,178.5
Iowa,1993,92.5,9.920983,23,,189.6999969
Iowa,1994,93.40000153,9.996867,23.3,,171.3999939
Iowa,1995,93,10.001849,22.7,,179
Iowa,1996,94,10.0490055,23.1,,183.8000031
Iowa,1997,93.90000153,10.049283,23.3,,189.3000031
Iowa,1998,94,,,,193.8000031
Iowa,1999,91.69999695,,,,213
Iowa,2000,88.90000153,,,,286.2999878
Kansas,1970,114,,,0.18052468,34.20000076
Kansas,1971,102.8000031,,,0.18155004,38.90000153
Kansas,1972,111,9.768118,,0.1825754,38.79999924
Kansas,1973,115.1999969,9.838229,,0.18360078,39.29999924
Kansas,1974,118.5999985,9.810897,,0.18462615,40.20000076
Kansas,1975,123.4000015,9.800612,,0.18565151,42.70000076
Kansas,1976,127.6999969,9.830626,,0.18667687,46.59999847
Kansas,1977,127.9000015,9.848077,,0.18770224,48.09999847
Kansas,1978,127.0999985,9.875605,,0.18872762,52.59999847
Kansas,1979,126.4000015,9.903797,,0.18975298,54.79999924
Kansas,1980,127.0999985,9.862444,,0.19077834,58.29999924
Kansas,1981,132,9.877179,,0.18572941,59.79999924
Kansas,1982,130.8999939,9.881304,,0.1806805,65.09999847
Kansas,1983,127.5999985,9.885566,,0.17563158,77
Kansas,1984,121.6999969,9.916465,20.7,0.17058265,91
Kansas,1985,115.6999969,9.935948,20.1,0.16553372,97.5
Kansas,1986,109.4000015,9.961418,19.9,0.1604848,103
Kansas,1987,105.1999969,9.96282,19.7,0.15543589,114.5
Kansas,1988,103.1999969,9.969703,19.3,0.15038696,123.9000015
Kansas,1989,96.5,9.962953,19.4,0.14533803,136.5
Kansas,1990,94.30000305,9.983666,19.7,0.14028911,145.8000031
Kansas,1991,91.80000305,9.976418,20,,152.6999969
Kansas,1992,90,9.998267,19.2,,174.1999969
Kansas,1993,89.90000153,10.002069,19.4,,174.1999969
Kansas,1994,89.09999847,10.026579,19.5,,159.6000061
Kansas,1995,90.09999847,10.044954,19.1,,165.6999969
Kansas,1996,88.69999695,10.076406,18.9,,167.6999969
Kansas,1997,89.19999695,10.087141,19.7,,171.3000031
Kansas,1998,87.59999847,,,,184.3000031
Kansas,1999,83.30000305,,,,207
Kansas,2000,79.80000305,,,,271.2000122
Kentucky,1970,155.8000031,,,0.18131015,28.29999924
Kentucky,1971,163.5,,,0.18229958,30.10000038
Kentucky,1972,179.3999939,9.5474825,,0.18328904,30.60000038
Kentucky,1973,201.8999939,9.598115,,0.18427849,30.60000038
Kentucky,1974,212.3999939,9.600525,,0.18526793,31.5
Kentucky,1975,223,9.579324,,0.18625736,33.29999924
Kentucky,1976,230.8999939,9.624857,,0.18724681,36
Kentucky,1977,229.3999939,9.672666,,0.18823627,36.90000153
Kentucky,1978,224.6999969,9.703743,,0.1892257,41.40000153
Kentucky,1979,214.8999939,9.70251,,0.19021514,43.40000153
Kentucky,1980,215.3000031,9.661359,,0.1912046,46.29999924
Kentucky,1981,209.6999969,9.665572,,0.18725346,49.40000153
Kentucky,1982,210.6000061,9.65426,,0.18330234,56.29999924
Kentucky,1983,201.1000061,9.642765,,0.17935121,66.40000153
Kentucky,1984,183.1999969,9.699555,18.5,0.17540008,75.40000153
Kentucky,1985,182.3999939,9.703631,18.9,0.17144895,79.30000305
Kentucky,1986,179.8000031,9.729917,19.2,0.16749783,85.40000153
Kentucky,1987,171.1999969,9.739725,19,0.1635467,90.5
Kentucky,1988,173.1999969,9.758579,19.1,0.15959556,94.40000153
Kentucky,1989,171.6000061,9.787341,18.3,0.15564445,103.8000031
Kentucky,1990,182.5,9.804601,20.1,0.15169331,115.5999985
Kentucky,1991,170.3999939,9.808981,19.4,,120.5
Kentucky,1992,167.6000061,9.841689,19,,135.8000031
Kentucky,1993,167.6000061,9.84325,19.3,,145.3999939
Kentucky,1994,170.1000061,9.8684,19.6,,132.8000031
Kentucky,1995,175.3000031,9.903476,18.9,,134.8000031
Kentucky,1996,179,9.927487,19.1,,139.8000031
Kentucky,1997,186.8000031,9.9321785,19.3,,145.6000061
Kentucky,1998,171.3000031,,,,155.6999969
Kentucky,1999,165.3000031,,,,179.1999969
Kentucky,2000,156.1999969,,,,243.3999939
Louisiana,1970,115.9000015,,,0.18518518,34.29999924
Louisiana,1971,119.8000031,,,0.18678078,39.29999924
Louisiana,1972,125.3000031,9.5173645,,0.18837638,40
Louisiana,1973,126.6999969,9.564111,,0.189972,39.90000153
Louisiana,1974,129.8999939,9.57982,,0.1915676,41.59999847
Louisiana,1975,133.6000061,9.585208,,0.1931632,44.29999924
Louisiana,1976,139.6000061,9.644329,,0.1947588,48.09999847
Louisiana,1977,140,9.679078,,0.1963544,48.90000153
Louisiana,1978,142.6999969,9.731681,,0.19795002,54.20000076
Louisiana,1979,140.1000061,9.737775,,0.19954562,57.09999847
Louisiana,1980,143.8000031,9.739491,,0.20114122,60
Louisiana,1981,144,9.765061,,0.19634315,62.59999847
Louisiana,1982,143.8999939,9.753126,,0.19154507,70.30000305
Louisiana,1983,133.6999969,9.746861,,0.186747,80.69999695
Louisiana,1984,128.8999939,9.760681,23.8,0.18194892,90.69999695
Louisiana,1985,125,9.76166,23,0.17715085,103
Louisiana,1986,121.1999969,9.740594,23.7,0.17235278,105.0999985
Louisiana,1987,116.5,9.716699,24.3,0.16755469,117.8000031
Louisiana,1988,110.9000015,9.744105,24.6,0.16275662,120.4000015
Louisiana,1989,103.5999985,9.750066,24.4,0.15795854,130.6999969
Louisiana,1990,101.5,9.770264,26.4,0.15316047,143.3999939
Louisiana,1991,107.1999969,9.784423,26.1,,149.6000061
Louisiana,1992,108.5,9.805567,26.7,,178.1000061
Louisiana,1993,106.1999969,9.821536,26.5,,180.5
Louisiana,1994,105.3000031,9.860993,27.1,,157.3999939
Louisiana,1995,105.6999969,9.910527,26.1,,155.8000031
Louisiana,1996,106.8000031,9.923664,26.5,,165.3000031
Louisiana,1997,105.3000031,9.926509,26.7,,166.8999939
Louisiana,1998,103.1999969,,,,185.8999939
Louisiana,1999,101,,,,208
Louisiana,2000,104.3000031,,,,281.2000122
Maine,1970,128.5,,,0.16901408,38
Maine,1971,133.1999969,,,0.17033489,38.79999924
Maine,1972,136.5,9.59714,,0.17165571,41.5
Maine,1973,138,9.647285,,0.17297652,41
Maine,1974,142.1000061,9.636234,,0.17429733,41.79999924
Maine,1975,140.6999969,9.60089,,0.17561814,46.70000076
Maine,1976,144.8999939,9.671687,,0.17693897,49.90000153
Maine,1977,145.6000061,9.678421,,0.17825978,50.90000153
Maine,1978,143.8999939,9.698808,,0.17958058,55
Maine,1979,138.5,9.694194,,0.18090141,54.5
Maine,1980,141.1999969,9.683053,,0.18222222,59
Maine,1981,138.8999939,9.679446,,0.17809658,62.90000153
Maine,1982,139.5,9.683565,,0.17397094,69.69999695
Maine,1983,135.3999939,9.724025,,0.16984531,80.80000305
Maine,1984,135.5,9.774763,22.1,0.16571967,93.69999695
Maine,1985,127.9000015,9.807659,22.2,0.16159403,98.09999847
Maine,1986,119,9.87409,22.4,0.1574684,112.6999969
Maine,1987,125,9.911307,22.6,0.15334275,121.1999969
Maine,1988,125,9.944216,22.9,0.14921713,129
Maine,1989,122.4000015,9.967079,21.8,0.14509149,144.3999939
Maine,1990,117.5,9.949729,22.1,0.14096585,160.1000061
Maine,1991,116.0999985,9.924435,21.5,,165.8000031
Maine,1992,114.5,9.942132,20.8,,187.6999969
Maine,1993,108.5,9.945655,20.6,,192.6000061
Maine,1994,101.5999985,9.962649,20.3,,178.3000031
Maine,1995,102.3000031,9.969056,21.1,,184.8999939
Maine,1996,100,9.987245,21.3,,186.8999939
Maine,1997,101.0999985,9.995829,21,,190.1999969
Maine,1998,94.5,,,,219.6000061
Maine,1999,85.5,,,,267.7999878
Maine,2000,82.90000153,,,,330.5
Minnesota,1970,104.3000031,,,0.17472412,39.09999847
Minnesota,1971,116.4000015,,,0.17673159,40.09999847
Minnesota,1972,96.80000305,9.765188,,0.17873906,45.20000076
Minnesota,1973,106.8000031,9.862045,,0.18074653,45.59999847
